image_name,is_cropped,total_area,roi_area,processing_time
image.1584_with_target,False,19320,19315,-1740975890595.0403
image.2375_with_target,False,20704,20686,-1740975890595.0464
image.1081_with_target,False,19272,19264,-1740975890595.2969
image.0401_with_target,False,19796,19796,-1740975890594.3804
image.4744_with_target,False,19357,19344,-1740975890595.2778
image.8553_with_target,False,19274,19261,-1740975890595.3027
image.5135_with_target,False,19392,19379,-1740975890595.2847
image.6567_with_target,False,19230,19222,-1740975890595.3762
image.4031_with_target,False,19939,19931,-1740975890595.342
image.0693_with_target,False,19252,19252,-1740975890595.386
image.7884_with_target,False,20728,20714,-1740975890595.3823
image.3423_with_target,False,19263,19263,-1740975890594.8613
image.4586_with_target,False,19325,19315,-1740975890595.2588
image.9419_with_target,False,19262,19248,-1740975890595.3408
image.7031_with_target,False,19256,19251,-1740975890595.3992
image.3402_with_target,False,19252,19234,-1740975890595.2993
image.8347_with_target,False,19412,19399,-1740975890595.3394
image.3307_with_target,False,20685,20672,-1740975890593.898
image.5821_with_target,False,19266,19256,-1740975890595.1003
image.0319_with_target,False,19359,19331,-1740975890595.2056
image.0903_with_target,False,19328,19320,-1740975890594.899
image.2415_with_target,False,19315,19262,-1740975890594.635
image.1747_with_target,False,20635,20622,-1740975890595.1355
image.4480_with_target,False,20638,20638,-1740975890595.3047
image.3682_with_target,False,20591,20586,-1740975890594.393
image.7199_with_target,False,20731,20731,-1740975890595.5574
image.7402_with_target,False,19213,19213,-1740975890596.2114
image.9718_with_target,False,19358,19350,-1740975890596.1729
image.8388_with_target,False,19683,19670,-1740975890596.0964
image.9847_with_target,False,19258,19245,-1740975890596.0046
image.2274_with_target,False,19322,19322,-1740975890595.9648
image.0418_with_target,False,19267,19257,-1740975890595.912
image.6230_with_target,False,19234,19234,-1740975890596.2427
image.9426_with_target,False,19365,19354,-1740975890595.9146
image.7347_with_target,False,19420,19415,-1740975890596.036
image.2619_with_target,False,20682,20682,-1740975890596.1345
image.1514_with_target,False,20551,19243,-1740975890595.9695
image.6575_with_target,False,19314,19263,-1740975890595.7637
image.9101_with_target,False,19343,19338,-1740975890595.694
image.3301_with_target,False,19346,19326,-1740975890596.182
image.6269_with_target,False,20641,20636,-1740975890595.9055
image.0031_with_target,False,19592,19584,-1740975890595.9248
image.2920_with_target,False,20661,20661,-1740975890596.1304
image.4442_with_target,False,19552,19541,-1740975890595.836
image.4956_with_target,False,19308,19303,-1740975890596.153
image.9853_with_target,False,19696,19569,-1740975890596.0776
image.6108_with_target,False,19216,19211,-1740975890596.1665
image.8670_with_target,False,20908,19539,-1740975890596.0723
image.8865_with_target,False,19337,19275,-1740975890596.2034
image.1268_with_target,False,19646,19641,-1740975890596.2295
image.6899_with_target,False,19333,19320,-1740975890596.2065
image.9964_with_target,False,19553,19543,-1740975890596.1772
image.9013_with_target,False,20718,20705,-1740975890596.1628
image.2836_with_target,False,19295,19287,-1740975890595.6274
image.7879_with_target,False,19856,19807,-1740975890590.6453
image.5827_with_target,False,19254,19249,-1740975890596.169
image.7672_with_target,False,19870,19857,-1740975890594.6677
image.8786_with_target,False,19237,19218,-1740975890585.9539
image.8366_with_target,False,20705,20691,-1740975890596.2058
image.6531_with_target,False,19254,19234,-1740975890596.0303
image.1609_with_target,False,19985,19282,-1740975890595.66
image.4978_with_target,False,19534,19534,-1740975890595.3008
image.1517_with_target,False,20571,20561,-1740975890595.4438
image.9565_with_target,False,19224,19210,-1740975890596.2537
image.8484_with_target,False,19654,19649,-1740975890595.825
image.5396_with_target,False,20703,20703,-1740975890596.2703
image.1126_with_target,False,19265,19260,-1740975890596.1265
image.0721_with_target,False,19343,19343,-1740975890595.5857
image.4025_with_target,False,19361,19320,-1740975890596.1248
image.9812_with_target,False,19230,19216,-1740975890596.138
image.6887_with_target,False,19834,19829,-1740975890594.7998
image.4510_with_target,False,20687,20687,-1740975890594.4985
image.9156_with_target,False,19194,19186,-1740975890595.4233
image.3069_with_target,False,19507,19502,-1740975890596.1216
image.1025_with_target,False,19630,19616,-1740975890595.8147
image.3141_with_target,False,21142,20589,-1740975890595.968
image.9757_with_target,False,19258,19244,-1740975890595.9604
image.5887_with_target,False,19620,19612,-1740975890595.2812
image.1796_with_target,False,19463,19447,-1740975890594.517
image.6682_with_target,False,19293,19288,-1740975890595.4045
